PK_TILL_SA,C_SAMPLE,Easting,Northing,Ca_pct,Fe_pct,K_pct,Mg_pct,Na_pct,Fe2O3,Na2O,K2O,CaO,MgO,CWI,Fe_react,LITH_ORIG,DIST_LITH_Aal,DIST_LITH_Aam,DIST_LITH_Ab,DIST_LITH_Ac,DIST_LITH_Acg,DIST_LITH_Ag,DIST_LITH_Agb,DIST_LITH_Agbm,DIST_LITH_Agd,DIST_LITH_Agk,DIST_LITH_Agkm,DIST_LITH_Agkx,DIST_LITH_Agn,DIST_LITH_Agnb,DIST_LITH_Agnp,DIST_LITH_Ags,DIST_LITH_Agx,DIST_LITH_Am,DIST_LITH_Amp,DIST_LITH_Ams,DIST_LITH_As,DIST_LITH_Asv,DIST_LITH_Atg,DIST_LITH_Ath,DIST_LITH_Atl,DIST_LITH_Atm,DIST_LITH_Avc,DIST_LITH_Avf,DIST_LITH_Avm,DIST_LITH_Avx,DIST_LITH_PAa,DIST_LITH_PAg,DIST_LITH_PAgt,DIST_LITH_PAm,DIST_LITH_PAt,DIST_LITH_Pa,DIST_LITH_Pal,DIST_LITH_Pg,DIST_LITH_Pgt,DIST_LITH_Pm,DIST_LITH_Po,DIST_LITH_Ppx,DIST_LITH_Psc,DIST_LITH_Psq,DIST_LITH_Pt,DIST_LITH_Pu,DIST_LITH_Pv,MAG_RESID,ELEV_M,SLOPE_DEG,RUGGEDNESS,TWI,DIST_DYKES,DIST_FAULTS,DIST_LINEAM,ALT,MAP,SNOWFALL,MAT,TDD,MAX_SWE,AET,GST,T1M,T2M,T5M,T10M,SM_0_7,SM_7_28,SM_28_100,SM_100_289
157,90-XGS-100,-847910.5472562945,1867194.712606205,0.19,1.33,0.07,0.25,0.02,1.90057,0.02696,0.08435,0.2659999999999999,0.4145,70.59070413537465,0.5589442544143101,10.0,234546.5,234616.84375,37404.04296875,177260.578125,37948.98046875,9890.0205078125,4069.705078125,77143.53125,58617.9375,0.0,38010.6875,130430.0546875,10796.4111328125,26779.189453125,108738.5078125,32687.91796875,7830.22998046875,27564.697265625,194202.53125,29470.32421875,79750.0,18117.671875,58619.53515625,14773.287109375,42403.56640625,16620.76953125,71594.78125,46992.01953125,14630.875,105105.8984375,178216.15625,89219.1796875,178838.09375,86644.390625,120432.5546875,73615.5546875,198587.515625,47860.47265625,71568.1484375,66754.2109375,260620.65625,123384.0546875,51991.5859375,51235.36328125,64103.91796875,112189.8515625,62741.53515625,-122.54730987548828,435.0995788574219,0.1091994047164917,2.2518839836120605,13.170560836791992,2000.0,1767.7669677734375,4609.7724609375,0.6961789727210999,303.68353400626046,171.10656673560794,-8.117661476135254,1237.2433016958566,108.41211700439452,273.44972494214124,-1.9583442211151123,-2.3967044353485107,-2.405740976333618,-2.371065855026245,-2.332191705703736,0.326702118424793,0.3261554757972107,0.3272332522117667,0.3475008239640568
158,90-XGS-101,-847922.350961659,1867187.7312372008,0.06,1.5,0.09,0.3,0.01,2.1435,0.01348,0.10845,0.0839999999999999,0.4973999999999999,75.29427468447362,0.529567222138308,10.0,234546.5,234616.84375,37404.04296875,177260.578125,37948.98046875,9890.0205078125,4069.705078125,77143.53125,58617.9375,0.0,38010.6875,130430.0546875,10796.4111328125,26779.189453125,108738.5078125,32687.91796875,7830.22998046875,27564.697265625,194202.53125,29470.32421875,79750.0,18117.671875,58619.53515625,14773.287109375,42403.56640625,16620.76953125,71594.78125,46992.01953125,14630.875,105105.8984375,178216.15625,89219.1796875,178838.09375,86644.390625,120432.5546875,73615.5546875,198587.515625,47860.47265625,71568.1484375,66754.2109375,260620.65625,123384.0546875,51991.5859375,51235.36328125,64103.91796875,112189.8515625,62741.53515625,-122.54730987548828,435.0995788574219,0.1091994047164917,2.2518839836120605,13.170560836791992,2000.0,1767.7669677734375,4609.7724609375,0.6961789727210999,303.68353400626046,171.10656673560794,-8.117661476135254,1237.2433016958566,108.41211700439452,273.44972494214124,-1.9583442211151123,-2.3967044353485107,-2.405740976333618,-2.371065855026245,-2.332191705703736,0.326702118424793,0.3261554757972107,0.3272332522117667,0.3475008239640568
159,90-XGS-102,-847922.350961659,1867187.7312372008,0.09,2.04,0.05,0.49,0.02,2.91516,0.02696,0.06025,0.126,0.8124199999999999,73.97400013702837,0.7586995376054039,10.0,234546.5,234616.84375,37404.04296875,177260.578125,37948.98046875,9890.0205078125,4069.705078125,77143.53125,58617.9375,0.0,38010.6875,130430.0546875,10796.4111328125,26779.189453125,108738.5078125,32687.91796875,7830.22998046875,27564.697265625,194202.53125,29470.32421875,79750.0,18117.671875,58619.53515625,14773.287109375,42403.56640625,16620.76953125,71594.78125,46992.01953125,14630.875,105105.8984375,178216.15625,89219.1796875,178838.09375,86644.390625,120432.5546875,73615.5546875,198587.515625,47860.47265625,71568.1484375,66754.2109375,260620.65625,123384.0546875,51991.5859375,51235.36328125,64103.91796875,112189.8515625,62741.53515625,-122.54730987548828,435.0995788574219,0.1091994047164917,2.2518839836120605,13.170560836791992,2000.0,1767.7669677734375,4609.7724609375,0.6961789727210999,303.68353400626046,171.10656673560794,-8.117661476135254,1237.2433016958566,108.41211700439452,273.44972494214124,-1.9583442211151123,-2.3967044353485107,-2.405740976333618,-2.371065855026245,-2.332191705703736,0.326702118424793,0.3261554757972107,0.3272332522117667,0.3475008239640568
160,90-XGS-103,-847934.1546788552,1867180.7499088943,0.06,1.25,0.04,0.15,0.01,1.78625,0.01348,0.0482,0.0839999999999999,0.2486999999999999,81.91440088414815,0.3230540142069036,10.0,234546.5,234616.84375,37404.04296875,177260.578125,37948.98046875,9890.0205078125,4069.705078125,77143.53125,58617.9375,0.0,38010.6875,130430.0546875,10796.4111328125,26779.189453125,108738.5078125,32687.91796875,7830.22998046875,27564.697265625,194202.53125,29470.32421875,79750.0,18117.671875,58619.53515625,14773.287109375,42403.56640625,16620.76953125,71594.78125,46992.01953125,14630.875,105105.8984375,178216.15625,89219.1796875,178838.09375,86644.390625,120432.5546875,73615.5546875,198587.515625,47860.47265625,71568.1484375,66754.2109375,260620.65625,123384.0546875,51991.5859375,51235.36328125,64103.91796875,112189.8515625,62741.53515625,-122.54730987548828,435.0995788574219,0.1091994047164917,2.2518839836120605,13.170560836791992,2000.0,1767.7669677734375,4609.7724609375,0.6961789727210999,303.68353400626046,171.10656673560794,-8.117661476135254,1237.2433016958566,108.41211700439452,273.44972494214124,-1.9583442211151123,-2.3967044353485107,-2.405740976333618,-2.371065855026245,-2.332191705703736,0.326702118424793,0.3261554757972107,0.3272332522117667,0.3475008239640568
161,90-XGS-104,-847945.9583411196,1867173.768558029,0.16,2.37,0.07,0.54,0.01,3.3867300000000005,0.01348,0.08435,0.2239999999999999,0.89532,73.5625168336273,0.8953661736404942,10.0,234546.5,234616.84375,37404.04296875,177260.578125,37948.98046875,9890.0205078125,4069.705078125,77143.53125,58617.9375,0.0,38010.6875,130430.0546875,10796.4111328125,26779.189453125,108738.5078125,32687.91796875,7830.22998046875,27564.697265625,194202.53125,29470.32421875,79750.0,18117.671875,58619.53515625,14773.287109375,42403.56640625,16620.76953125,71594.78125,46992.01953125,14630.875,105105.8984375,178216.15625,89219.1796875,178838.09375,86644.390625,120432.5546875,73615.5546875,198587.515625,47860.47265625,71568.1484375,66754.2109375,260620.65625,123384.0546875,51991.5859375,51235.36328125,64103.91796875,112189.8515625,62741.53515625,-122.54730987548828,435.0995788574219,0.1091994047164917,2.2518839836120605,13.170560836791992,2000.0,1767.7669677734375,4609.7724609375,0.6961789727210999,303.68353400626046,171.10656673560794,-8.117661476135254,1237.2433016958566,108.41211700439452,273.44972494214124,-1.9583442211151123,-2.3967044353485107,-2.405740976333618,-2.371065855026245,-2.332191705703736,0.326702118424793,0.3261554757972107,0.3272332522117667,0.3475008239640568
162,90-XGS-105,-847945.9583411196,1867173.768558029,0.18,1.72,0.08,0.45,0.02,2.45788,0.02696,0.0964,0.252,0.7461,68.66852548235148,0.7700900458743793,10.0,234546.5,234616.84375,37404.04296875,177260.578125,37948.98046875,9890.0205078125,4069.705078125,77143.53125,58617.9375,0.0,38010.6875,130430.0546875,10796.4111328125,26779.189453125,108738.5078125,32687.91796875,7830.22998046875,27564.697265625,194202.53125,29470.32421875,79750.0,18117.671875,58619.53515625,14773.287109375,42403.56640625,16620.76953125,71594.78125,46992.01953125,14630.875,105105.8984375,178216.15625,89219.1796875,178838.09375,86644.390625,120432.5546875,73615.5546875,198587.515625,47860.47265625,71568.1484375,66754.2109375,260620.65625,123384.0546875,51991.5859375,51235.36328125,64103.91796875,112189.8515625,62741.53515625,-122.54730987548828,435.0995788574219,0.1091994047164917,2.2518839836120605,13.170560836791992,2000.0,1767.7669677734375,4609.7724609375,0.6961789727210999,303.68353400626046,171.10656673560794,-8.117661476135254,1237.2433016958566,108.41211700439452,273.44972494214124,-1.9583442211151123,-2.3967044353485107,-2.405740976333618,-2.371065855026245,-2.332191705703736,0.326702118424793,0.3261554757972107,0.3272332522117667,0.3475008239640568
163,90-XGS-106,-847957.7620545749,1867166.787259837,0.2,1.37,0.06,0.29,0.01,1.95773,0.01348,0.0723,0.2799999999999999,0.4808199999999999,69.81097089144289,0.5910196795669551,10.0,234546.5,234616.84375,37404.04296875,177260.578125,37948.98046875,9890.0205078125,4069.705078125,77143.53125,58617.9375,0.0,38010.6875,130430.0546875,10796.4111328125,26779.189453125,108738.5078125,32687.91796875,7830.22998046875,27564.697265625,194202.53125,29470.32421875,79750.0,18117.671875,58619.53515625,14773.287109375,42403.56640625,16620.76953125,71594.78125,46992.01953125,14630.875,105105.8984375,178216.15625,89219.1796875,178838.09375,86644.390625,120432.5546875,73615.5546875,198587.515625,47860.47265625,71568.1484375,66754.2109375,260620.65625,123384.0546875,51991.5859375,51235.36328125,64103.91796875,112189.8515625,62741.53515625,-122.54730987548828,435.0995788574219,0.1091994047164917,2.2518839836120605,13.170560836791992,2000.0,1767.7669677734375,4609.7724609375,0.6961789727210999,303.68353400626046,171.10656673560794,-8.117661476135254,1237.2433016958566,108.41211700439452,273.44972494214124,-1.9583442211151123,-2.3967044353485107,-2.405740976333618,-2.371065855026245,-2.332191705703736,0.326702118424793,0.3261554757972107,0.3272332522117667,0.3475008239640568
164,90-XGS-107,-847969.5657250601,1867159.805899769,0.16,1.38,0.03,0.72,0.01,1.97202,0.01348,0.03615,0.2239999999999999,1.19376,57.33599658080893,0.8413426802271318,10.0,234546.5,234616.84375,37404.04296875,177260.578125,37948.98046875,9890.0205078125,4069.705078125,77143.53125,58617.9375,0.0,38010.6875,130430.0546875,10796.4111328125,26779.189453125,108738.5078125,32687.91796875,7830.22998046875,27564.697265625,194202.53125,29470.32421875,79750.0,18117.671875,58619.53515625,14773.287109375,42403.56640625,16620.76953125,71594.78125,46992.01953125,14630.875,105105.8984375,178216.15625,89219.1796875,178838.09375,86644.390625,120432.5546875,73615.5546875,198587.515625,47860.47265625,71568.1484375,66754.2109375,260620.65625,123384.0546875,51991.5859375,51235.36328125,64103.91796875,112189.8515625,62741.53515625,-122.54730987548828,435.0995788574219,0.1091994047164917,2.2518839836120605,13.170560836791992,2000.0,1767.7669677734375,4609.7724609375,0.6961789727210999,303.68353400626046,171.10656673560794,-8.117661476135254,1237.2433016958566,108.41211700439452,273.44972494214124,-1.9583442211151123,-2.3967044353485107,-2.405740976333618,-2.371065855026245,-2.332191705703736,0.326702118424793,0.3261554757972107,0.3272332522117667,0.3475008239640568
165,90-XGS-108,-847971.9769432256,1867150.413383014,0.08,1.5,0.04,0.22,0.01,2.1435,0.01348,0.0482,0.1119999999999999,0.36476,79.923488221213,0.4303400299782992,10.0,234546.5,234616.84375,37404.04296875,177260.578125,37948.98046875,9890.0205078125,4069.705078125,77143.53125,58617.9375,0.0,38010.6875,130430.0546875,10796.4111328125,26779.189453125,108738.5078125,32687.91796875,7830.22998046875,27564.697265625,194202.53125,29470.32421875,79750.0,18117.671875,58619.53515625,14773.287109375,42403.56640625,16620.76953125,71594.78125,46992.01953125,14630.875,105105.8984375,178216.15625,89219.1796875,178838.09375,86644.390625,120432.5546875,73615.5546875,198587.515625,47860.47265625,71568.1484375,66754.2109375,260620.65625,123384.0546875,51991.5859375,51235.36328125,64103.91796875,112189.8515625,62741.53515625,-122.54730987548828,435.0995788574219,0.1091994047164917,2.2518839836120605,13.170560836791992,2000.0,1767.7669677734375,4609.7724609375,0.6961789727210999,303.68353400626046,171.10656673560794,-8.117661476135254,1237.2433016958566,108.41211700439452,273.44972494214124,-1.9583442211151123,-2.3967044353485107,-2.405740976333618,-2.371065855026245,-2.332191705703736,0.326702118424793,0.3261554757972107,0.3272332522117667,0.3475008239640568
166,90-XGS-109,-847981.3694467343,1867152.82459238,0.11,1.33,0.05,0.25,0.01,1.90057,0.01348,0.06025,0.154,0.4145,74.74319647632532,0.4800232307299038,10.0,234546.5,234616.84375,37404.04296875,177260.578125,37948.98046875,9890.0205078125,4069.705078125,77143.53125,58617.9375,0.0,38010.6875,130430.0546875,10796.4111328125,26779.189453125,108738.5078125,32687.91796875,7830.22998046875,27564.697265625,194202.53125,29470.32421875,79750.0,18117.671875,58619.53515625,14773.287109375,42403.56640625,16620.76953125,71594.78125,46992.01953125,14630.875,105105.8984375,178216.15625,89219.1796875,178838.09375,86644.390625,120432.5546875,73615.5546875,198587.515625,47860.47265625,71568.1484375,66754.2109375,260620.65625,123384.0546875,51991.5859375,51235.36328125,64103.91796875,112189.8515625,62741.53515625,-122.54730987548828,435.0995788574219,0.1091994047164917,2.2518839836120605,13.170560836791992,2000.0,1767.7669677734375,4609.7724609375,0.6961789727210999,303.68353400626046,171.10656673560794,-8.117661476135254,1237.2433016958566,108.41211700439452,273.44972494214124,-1.9583442211151123,-2.3967044353485107,-2.405740976333618,-2.371065855026245,-2.332191705703736,0.326702118424793,0.3261554757972107,0.3272332522117667,0.3475008239640568
